iter	Passed	Remaining
694	23041	10111
695	23103	10091
696	23153	10065
697	23178	10028
698	23199	9990
699	23248	9963
700	23272	9926
701	23300	9891
702	23357	9867
703	23382	9831
704	23406	9794
705	23429	9756
706	23456	9721
707	23481	9684
708	23508	9648
709	23534	9612
710	23561	9577
711	23592	9542
712	23623	9509
713	23649	9472
714	23681	9439
715	23708	9404
716	23733	9367
717	23759	9331
718	23784	9295
719	23812	9260
720	23838	9224
721	23864	9188
722	23888	9152
723	23939	9125
724	23969	9091
725	24029	9069
726	24101	9050
727	24128	9015
728	24152	8978
729	24201	8951
730	24228	8915
731	24261	8882
732	24288	8847
733	24313	8811
734	24339	8775
735	24381	8745
736	24417	8713
737	24454	8681
738	24486	8648
739	24555	8627
740	24613	8603
741	24647	8570
742	24672	8534
743	24706	8501
744	24733	8465
745	24766	8432
746	24793	8397
747	24820	8362
748	24845	8326
749	24869	8289
750	24894	8253
751	24917	8217
752	24940	8181
753	24971	8147
754	25045	8127
755	25094	8099
756	25122	8064
757	25149	8029
758	25176	7994
759	25203	7959
760	25229	7923
761	25267	7891
762	25296	7857
763	25321	7821
764	25345	7785
765	25371	7750
766	25395	7714
767	25426	7680
768	25464	7649
769	25498	7616
770	25549	7588
771	25579	7554
772	25603	7518
773	25626	7482
774	25649	7446
775	25686	7414
776	25712	7379
777	25743	7345
778	25772	7311
779	25796	7275
780	25820	7240
781	25878	7214
782	25906	7179
783	25939	7146
784	25975	7114
785	25999	7078
786	26023	7043
787	26054	7009
788	26080	6974
789	26104	6939
790	26132	6904
791	26160	6870
792	26187	6835
793	26221	6802
794	26249	6768
795	26274	6733
796	26300	6698
797	26323	6663
798	26371	6634
799	26417	6604
800	26443	6569
801	26471	6535
802	26504	6502
803	26530	6467
804	26562	6434
805	26588	6399
806	26614	6365
807	26641	6330
808	26669	6296
809	26696	6262
810	26724	6228
811	26752	6193
812	26784	6160
813	26814	6127
814	26841	6092
815	26870	6059
816	26900	6025
817	26923	5990
818	26975	5961
819	27028	5933
820	27055	5898
821	27077	5863
822	27128	5834
823	27158	5800
824	27181	5765
825	27205	5730
826	27252	5700
827	27298	5670
828	27339	5639
829	27368	5605
830	27399	5572
831	27425	5537
832	27453	5503
833	27474	5468
834	27526	5439
835	27559	5406
836	27587	5372
837	27617	5338
838	27640	5304
839	27661	5268
840	27682	5233
841	27706	5198
842	27735	5165
843	27786	5135
844	27813	5101
845	27845	5068
846	27865	5033
847	27921	5004
848	27948	4970
849	27970	4935
850	27993	4901
851	28020	4867
852	28052	4834
853	28074	4799
854	28132	4770
855	28159	4737
856	28190	4703
857	28210	4668
858	28235	4634
859	28265	4601
860	28314	4571
861	28337	4536
862	28360	4502
863	28383	4467
864	28427	4436
865	28453	4402
866	28507	4373
867	28531	4338
868	28560	4305
869	28586	4271
870	28615	4238
871	28665	4207
872	28692	4174
873	28719	4140
874	28745	4106
875	28770	4072
876	28795	4038
877	28819	4004
878	28850	3971
879	28881	3938
880	28912	3905
881	28940	3871
882	28970	3838
883	29006	3806
884	29033	3772
885	29059	3738
886	29113	3708
887	29140	3675
888	29166	3641
889	29216	3611
890	29242	3577
891	29265	3543
892	29317	3512
893	29340	3478
894	29373	3446
895	29408	3413
896	29442	3380
897	29469	3347
898	29499	3314
899	29522	3280
900	29575	3249
901	29610	3217
902	29635	3183
903	29672	3151
904	29699	3117
905	29743	3085
906	29791	3054
907	29820	3021
908	29843	2987
909	29871	2954
910	29900	2921
911	29923	2887
912	29988	2857
913	30013	2824
914	30036	2790
915	30083	2758
916	30107	2725
917	30169	2694
918	30208	2662
919	30231	2628
920	30292	2598
921	30368	2569
922	30393	2535
923	30423	2502
924	30450	2468
925	30473	2435
926	30498	2401
927	30527	2368
928	30568	2336
929	30596	2302
930	30620	2269
931	30676	2238
932	30730	2206
933	30757	2173
934	30780	2139
935	30829	2108
936	30855	2074
937	30876	2040
938	30897	2007
939	30950	1975
940	30997	1943
941	31022	1910
942	31069	1878
943	31123	1846
944	31150	1812
945	31181	1779
946	31207	1746
947	31252	1714
948	31280	1681
949	31327	1648
950	31352	1615
951	31373	1581
952	31402	1548
953	31423	1515
954	31464	1482
955	31488	1449
956	31541	1417
957	31601	1385
958	31631	1352
959	31659	1319
960	31686	1285
961	31734	1253
962	31755	1220
963	31804	1187
964	31828	1154
965	31852	1121
966	31878	1087
967	31901	1054
968	31946	1022
969	31971	988
970	31995	955
971	32024	922
972	32050	889
973	32074	856
974	32105	823
975	32137	790
976	32160	757
977	32214	724
978	32247	691
979	32271	658
980	32322	626
981	32347	592
982	32370	559
983	32421	527
984	32445	494
985	32470	461
986	32496	428
987	32520	394
988	32546	361
989	32574	329
990	32600	296
991	32627	263
992	32652	230
993	32679	197
994	32733	164
995	32760	131
996	32809	98
997	32837	65
998	32864	32
999	32892	0
